,Longitude,Latitude,cluster,centroids
0,82.9439467,17.50474,15,0
1,82.9269533,17.4557033,15,0
2,82.9390533,17.47733,15,0
3,82.9393517,17.4766783,15,0
4,82.9276367,17.4623167,15,0
5,82.9288633,17.4607883,15,0
6,82.9179483,17.529005,15,0
7,82.9295283,17.4609583,15,0
8,82.9094683,17.4627567,15,0
9,82.9091317,17.4598767,15,0
10,82.9180367,17.5281567,15,0
11,82.7913333,17.48855,6,0
12,82.7913483,17.4886217,6,0
13,82.7913433,17.4887233,6,0
14,82.8102033,17.50583,10,0
15,82.7912867,17.4885683,6,0
16,82.7886733,17.4848317,6,0
17,82.7885533,17.4836917,6,0
18,82.7776567,17.4925617,6,0
19,82.7879467,17.4853433,6,0
20,82.78809,17.4846833,6,0
21,82.7897283,17.4835517,6,0
22,82.7898983,17.4824933,6,0
23,82.7875517,17.48646,6,0
24,82.7892267,17.48271,6,0
25,82.7899417,17.482485,6,0
26,82.78848,17.4850133,6,0
27,82.79801,17.48343,6,0
28,82.7898167,17.4825,6,0
29,82.7886167,17.4847733,6,0
30,82.78943,17.4834933,6,0
31,82.78843,17.484865,6,0
32,82.79864,17.4848167,6,0
33,82.7917117,17.489825,6,0
34,82.7789333,17.4949617,6,0
35,82.7758333,17.4921,6,0
36,82.77592,17.492025,6,0
37,82.7979683,17.483085,6,0
38,82.78683,17.484335,6,0
39,82.7442117,17.4876117,6,0
40,82.7464683,17.486185,6,0
41,82.7465533,17.4863367,6,0
42,82.7460767,17.4841117,6,0
43,80.2099683,15.8734517,0,0
44,82.00778,16.59831,4,0
45,82.61946,18.0559983,12,0
46,77.3335617,13.8527017,0,0
47,82.6190833,18.05613,12,0
48,82.74602,17.4847733,6,0
49,82.7766017,17.4926067,6,0
50,82.780195,17.492265,6,0
51,82.7923717,17.494195,6,1
52,82.7779317,17.492435,6,0
53,82.7787617,17.4950267,6,0
54,82.77821,17.4938417,6,0
55,82.79091,17.51305,9,0
56,82.7938533,17.503855,7,0
57,82.791715,17.50295,7,0
58,82.792435,17.5129783,9,0
59,82.81573,17.49359,10,0
60,82.81597,17.4939167,10,0
61,82.810225,17.5058433,10,0
62,82.81591,17.48788,10,0
63,82.9399117,17.4751317,15,0
64,82.934255,17.492875,15,0
65,82.9296983,17.5907917,15,0
66,82.79119,17.5019183,7,1
67,82.793075,17.5125083,9,0
68,82.7924167,17.50404,7,0
69,82.7950067,17.51449,9,0
70,82.7949517,17.5143167,9,0
71,82.7909217,17.5135317,9,0
72,82.79459,17.516525,9,0
73,82.8179983,17.5189133,14,0
74,82.7909917,17.513365,9,0
75,82.7909083,17.513375,9,0
76,82.7910817,17.5136433,9,0
77,82.8725883,17.5130783,15,0
78,82.8717817,17.5128567,15,1
79,82.8718167,17.5128233,15,0
80,82.8733133,17.51304,15,0
81,82.8732917,17.51307,15,0
82,82.8725583,17.5146733,15,0
83,82.8109583,17.5053583,10,0
84,82.8172717,17.51691,14,0
85,82.81793,17.5167433,14,1
86,82.8109683,17.5053467,10,0
87,82.8098883,17.5061817,10,0
88,82.810975,17.5053233,10,1
89,82.8102367,17.504085,10,1
90,82.8109367,17.5052267,10,0
91,82.816365,17.488065,10,0
92,82.816655,17.4878183,10,0
93,82.8106833,17.5033983,10,0
94,82.80913,17.5033217,10,0
95,82.809005,17.5058783,10,0
96,82.8090117,17.5057533,10,0
97,82.80936,17.5056583,10,0
98,82.791105,17.51353,9,0
99,82.7908383,17.5133717,9,0
100,82.791125,17.5136033,9,0
101,82.7910367,17.513655,9,0
102,82.7910333,17.5136067,9,0
103,82.7908917,17.51356,9,0
104,82.79388,17.5146517,9,0
105,82.793835,17.5039167,7,0
106,82.79502,17.5145383,9,0
107,82.7917417,17.5029333,7,0
108,82.7922617,17.5042667,7,0
109,82.7784517,17.49509,6,0
110,82.778495,17.49553,6,0
111,82.7786,17.4951583,6,0
112,82.77883,17.4955067,6,0
113,82.774935,17.5104233,9,1
114,82.77853,17.4951317,6,0
115,82.7789917,17.4950267,6,0
116,82.7696917,17.5059017,9,0
117,82.7783217,17.4950167,6,0
118,82.7784633,17.4951767,6,0
119,82.7789067,17.4949567,6,0
120,82.7701667,17.5067217,9,0
121,82.74452,17.4871683,6,0
122,82.9614583,17.5376783,15,0
123,82.74473,17.48792,6,0
124,82.7446517,17.4874583,6,0
125,82.7447033,17.4879283,6,0
126,82.747285,17.4859267,6,0
127,82.7461717,17.4850133,6,0
128,82.74463,17.4874467,6,0
129,82.74618,17.4850383,6,0
130,82.7459167,17.4847567,6,0
131,82.7457,17.48547,6,0
132,82.7414967,17.492355,6,0
133,82.8567767,17.5831917,13,0
134,82.85781,17.5827333,13,0
135,82.85632,17.582715,13,0
136,82.8570817,17.58343,13,0
137,82.857095,17.5840183,13,0
138,82.8571033,17.58402,13,0
139,82.8570233,17.583385,13,0
140,82.8572917,17.5825917,13,0
141,82.857095,17.583305,13,0
142,82.8573683,17.582535,13,0
143,82.8655583,17.5858367,15,0
144,82.8734367,17.6211433,13,0
145,82.8736283,17.6210583,13,0
146,82.8733067,17.6215633,13,0
147,82.8731917,17.621675,13,0
148,82.873205,17.6212467,13,0
149,82.90399,17.5608483,15,0
150,82.9060917,17.5514817,15,0
151,82.9060933,17.5515317,15,0
152,82.90376,17.5604183,15,0
153,82.90376,17.56042,15,0
154,82.9038817,17.5602033,15,0
155,82.905275,17.5498533,15,0
156,82.9062033,17.54773,15,0
157,82.9038767,17.5601883,15,0
158,82.90243,17.5598967,15,0
159,82.9011317,17.5647733,15,0
160,82.9034017,17.5633417,15,0
161,82.931165,17.538515,15,0
162,83.7810116,18.1837566,13,0
163,83.7555099,18.2011333,13,0
164,83.7810866,18.1837233,13,0
165,83.7689749,18.19369,13,0
166,83.766685,18.1962933,13,0
167,83.7619983,18.202565,13,0
168,78.72374,13.2500983,0,0
169,78.7315067,13.2185833,0,0
170,78.7929466,13.2382683,0,0
171,78.7806717,13.2388183,0,0
172,78.7742699,13.2372883,0,0
173,78.7748533,13.2372966,0,0
174,78.7748216,13.23733,0,0
175,78.7487283,13.23025,0,0
176,78.7742917,13.2373,0,0
177,78.6676566,13.2308233,0,0
178,78.6682333,13.2310917,0,0
179,78.67957,13.22578,0,0
180,78.7065133,13.2629633,0,0
181,78.708215,13.2318,0,0
182,78.7287783,13.2327016,0,0
183,78.7058833,13.25905,0,0
184,78.755005,13.24449,0,0
185,78.7056717,13.2605217,0,0
186,78.6795933,13.2257566,0,0
187,78.707125,13.2578833,0,0
188,78.7288567,13.2327033,0,0
189,78.7098217,13.2323017,0,0
190,78.728795,13.2327167,0,0
191,78.7081717,13.2318517,0,0
192,78.709885,13.2323267,0,0
193,78.7174683,13.252625,0,0
194,78.7178,13.2536667,0,0
195,78.7172567,13.252615,0,0
196,78.6365466,13.1839983,0,0
197,78.6393766,13.183105,0,0
198,78.637185,13.1835716,0,0
199,78.6372416,13.183635,0,0
200,78.68614,13.22393,0,0
201,78.739955,13.24702,0,0
202,78.6372433,13.18359,0,0
203,78.747985,13.2179833,0,0
204,78.7176983,13.2536467,0,0
205,78.7233567,13.2497167,0,0
206,78.641515,13.1845833,0,0
207,78.637265,13.183615,0,0
208,78.6420633,13.1824683,0,0
209,78.6371933,13.1835633,0,0
210,78.641285,13.1822867,0,0
211,78.68624,13.224095,0,0
212,78.6907433,13.2321033,0,0
213,78.6861117,13.2239133,0,0
214,78.7215333,13.2695283,0,0
215,78.723275,13.2496867,0,0
216,78.7191417,13.2693983,0,0
217,78.7270183,13.2600966,0,0
218,78.7269783,13.25963,0,0
219,78.7269617,13.2600933,0,0
220,78.719175,13.2693433,0,0
221,78.7214667,13.2694983,0,0
222,78.7480133,13.21801,0,0
223,78.756755,13.2424367,0,0
224,78.7408816,13.247555,0,0
225,78.738035,13.2423066,0,0
226,78.7400383,13.2470217,0,0
227,78.740875,13.2475683,0,0
228,78.7409667,13.24751,0,0
229,78.74014,13.24726,0,0
230,78.7555467,13.2430667,0,0
231,78.731545,13.2523449,0,0
232,78.7307116,13.2533549,0,0
233,78.7567067,13.24242,0,0
234,78.7306483,13.2533316,0,0
235,78.7320166,13.25225,0,0
236,78.342135,12.858175,0,0
237,78.7306399,13.2533433,0,0
238,78.34037,12.8562067,0,0
239,78.7315883,13.2523317,0,0
240,78.775385,13.2383017,0,0
241,78.7737883,13.2374833,0,0
242,78.7555917,13.2430483,0,0
243,78.7753683,13.2382533,0,0
244,78.7370533,13.241,0,0
245,78.741215,13.24692,0,0
246,78.7369666,13.2410199,0,0
247,78.7644983,13.2434466,0,0
248,78.7553499,13.2145883,0,0
249,78.6376333,13.1833917,0,0
250,78.63726,13.1836017,0,0
251,78.764905,13.2422266,0,0
252,78.7645483,13.2433799,0,0
